Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90?,Sweeper_AvgDist
1,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,34-224,1988,28,2.18,0.29,0.07,0.29,0.11,2.05,0.29,-0.02,-0.02,16,34.3,46.7,44.8,2.68,65.5,44.2,7.5,66.7,49.4,16,0.89,5.6,3.64,3.64,22.5
2,Oliver Christensen,dk DEN,GK,Hertha BSC,de Bundesliga,24-030,1999,28,1.96,0.18,0.14,0.25,0,1.57,0.31,-0.39,-0.39,6.14,17.3,35.5,30,5.18,41.6,35.4,6.82,70.2,53.3,13.9,1,7.2,2.32,2.32,19
3,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,23-050,2000,31,1.94,0.1,0.03,0.19,0.03,1.55,0.32,-0.36,-0.36,2.97,13.1,22.6,23,5.71,38.9,33.5,7.45,56.3,43.4,12.5,0.97,7.8,2.13,2.13,16.8
4,Juan Carlos,es ESP,GK,Girona,es La Liga,35-091,1988,10,1.8,0.2,0.2,0.1,0,1.67,0.35,-0.13,-0.13,2.3,6.4,35.9,27.8,5.1,17.6,28.7,6.2,24.2,30.3,12,0.6,5,2.1,2.1,16.9
5,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-200,1994,22.5,0.93,0,0.04,0.18,0.09,1.04,0.26,0.2,0.2,2.44,7.87,31.1,30.8,5.51,16.9,26.2,6.62,40.3,33.7,12.6,0.58,4.6,2.09,2.09,17.9
6,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,28-175,1994,22,1.32,0.05,0.05,0.09,0,1.18,0.28,-0.14,-0.14,6.05,18.7,32.4,24.5,5,54.1,41.4,7.14,75.8,56.1,12.2,1.64,13.4,2.05,2.05,17.8
7,Vanja Milinkovi?-Savi?,rs SRB,GK,Torino,it Serie A,26-060,1997,30,1.2,0.17,0,0.2,0,1.02,0.24,-0.18,-0.18,7,24.4,28.6,38,4.53,46.1,40.3,7.6,91.2,69.6,12.5,0.83,6.7,2.03,2.03,17.2
8,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,31-002,1992,29.2,0.82,0.07,0,0.21,0,0.86,0.24,0.03,0.03,3.42,10.7,32.1,19.4,6.4,33.9,33.2,5.79,71,51.7,12.8,0.99,7.8,2.02,2.02,17.9
9,Alisson,br BRA,GK,Liverpool,eng Premier League,30-201,1992,30,1.2,0.07,0,0,0.07,1.52,0.35,0.39,0.39,3.1,7.27,42.7,34,5.77,17.8,26.4,5.47,22.6,29.6,10.9,0.6,5.5,1.97,1.97,19.3
10,Rafa? Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,35-177,1987,23,1.78,0.04,0.04,0.17,0,1.8,0.28,0.01,0.01,8.04,19.7,40.9,39.8,5.52,33.3,33,10.2,62.8,48.9,15.8,0.91,5.8,1.96,1.96,16.7
11,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,33-044,1990,26,1.19,0.12,0,0.12,0.04,1.08,0.3,-0.08,-0.08,5.19,12.8,40.7,29.5,3.85,32.8,33.4,6.88,45.3,40.2,9.77,0.46,4.7,1.96,1.96,18.6
12,Benjamin Leroy,fr FRA,GK,Ajaccio,fr Ligue 1,34-014,1989,27.1,1.92,0.3,0.04,0.33,0.04,1.52,0.29,-0.36,-0.36,6.75,16.6,40.8,21.2,2.47,52.5,38.6,6.57,82.6,51.6,12,0.59,4.9,1.92,1.92,17.4
13,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,37-025,1986,12,0.92,0.17,0,0,0,1.22,0.29,0.31,0.31,3.25,6.58,49.4,36.3,6.75,16.6,26.8,5.75,10.1,23.8,8.58,0.33,3.9,1.92,1.92,19.5
14,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,27-060,1996,29,1.48,0,0.03,0.14,0.03,1.29,0.27,-0.16,-0.16,9.1,20.3,44.9,24.9,3.34,61.3,43.6,7.52,66.5,49.1,13.4,0.69,5.1,1.76,1.76,15.9
